island,island_id,kb_id,bag_id,sex,gravid,morph,capture_temp,substrate_temp,time_of_capture,scars,ticks,mites,mass,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe,autotomy,total % veg cover,% RHumidity,Air temp,% shrub cover,% herbaceous veg,% tree cover
naxos,25,,D7,m,na,y,33.1,30.2,10:40,1,7,0,,67.15,14.63,7.7,6.43,6.71,6.11,7.33,10.51,9.57,14.28,1,20,28.4,31.9,0,20,0
naxos,26,,C5,m,na,o,22.9,21.5,10:07,3,0,0,7.6,62.3,18.13,9.5,7.7,6.52,7.14,8.46,14.57,12,17.17,0,50,34,26.5,0,10,40
naxos,27,,D5,m,na,y,33.9,28.4,9:56,2,5,18,8,54.31,14.64,7.64,6.49,6.02,6.57,7.45,10.64,9.67,15.33,1,0,33.8,28.2,0,0,0
naxos,28,,E3,m,na,o,25.2,22.4,10:32,3,14,0,7,61.06,15.07,8,6.62,5.45,5.48,7.6,11.47,9.05,14.7,1,50,36,26.4,0,50,0
naxos,29,,C3,m,na,w,28.6,37.8,10:36,8,2,10,7.3,62.07,18.07,10.12,8.22,6.9,7.09,7.83,14.81,11.19,18.08,0,5,29.4,31,0,5,0
naxos,30,,D4,f,y,w,33.4,18.8,9:56,5,2,0,6.8,52.19,14.63,7.9,6.8,5.75,5.77,7.32,11.81,10.33,14.92,1,10,34.8,25,0,10,0
naxos,31,,C9,m,na,o,22.2,22.4,10:27,2,1,63,7.9,67.1,17.88,10.15,8.53,7.01,7.69,9.01,15.43,12.4,17.8,1,10,35,24.9,0,10,0
naxos,32,,C4,m,na,w,32.4,22.9,10:31,0,5,0,3.8,64.83,15.17,7.77,6.66,6.35,6.32,6.8,13.95,9.71,14.37,1,5,33,29.6,0,5,0
naxos,33,,A10,m,na,w,23.1,22.5,8:41,0,3,0,4.4,63.31,17.54,9.46,7.93,6.61,7.14,8.13,14.41,11.4,16.33,1,40,36.8,22.3,0,40,0
naxos,34,,C10,m,na,o,16.1,20.4,9:01,1,2,0,8.1,69.13,15.59,7.46,6.36,6.3,6.39,7.43,11.83,10.05,14.43,0,10,34,24.9,0,10,0
naxos,35,,C7,m,na,w,28.2,29.4,9:28,2,1,0,4.3,66.1,17.68,9.04,7.84,7.09,7.14,8.44,15.5,12.12,18.28,0,10,33.8,25,0,10,0
naxos,36,,G1,m,na,o,29.4,18.4,9:05,2,11,0,9.1,60.73,16.54,8.38,9.33,7.85,6.49,6.96,7.96,13.22,7.63,0,50,33,24,0,50,0
naxos,37,,D9,f,y,o,33.5,19,9:05,13,1,0,7.6,52.54,14.11,7.06,5.78,5.5,6.11,7.13,11.11,8.86,15.16,0,50,26.9,26.1,10,40,0
naxos,38,,G2,m,na,w,29.9,16.3,9:17,17,1,0,7.9,64.05,18.15,10.08,8.09,7.03,7.46,8.52,14.58,12.68,17.89,1,25,24.1,25.8,0,25,0
naxos,39,,D10,m,na,o,33.9,22.6,9:24,2,18,0,9.3,59.18,14.03,7.24,6.07,5.17,5.8,7.01,11.69,9.53,13.83,1,80,31.2,24.8,0,10,70
naxos,40,,C2,f,y,o,26,21.5,9:37,3,10,0,6.9,67.07,18.15,9.78,8.15,8.28,7.92,8.18,14,12.07,18.3,0,75,32.2,25.3,0,75,0
naxos,41,,F1,m,na,w,31.1,24.3,9:41,9,0,0,9.2,59.55,15.36,7.84,6.97,6.54,6.5,8.48,13.58,10.69,16.53,1,50,21.6,26.6,0,50,0
naxos,42,,C1,m,na,w,30.3,29,10:10,13,3,0,6.6,72.26,19.72,10.3,8.83,7.2,7.28,9.23,14.73,12.82,18.44,1,30,26.6,26.4,0,0,30
naxos,43,,G4,m,na,w,30.3,30.3,9:55,6,3,0,4.1,64.81,18.08,9.73,8.2,7.25,7.47,9.06,12.97,11.97,17.76,1,99,27,30.1,50,50,0
naxos,44,,F2,m ,na,w,28.8,26.3,10:05,4,10,0,9,65.49,15.43,7.82,6.94,6.64,6.43,7.1,12.36,10.41,15.8,1,40,26.3,28.9,40,0,0
naxos,45,,F3,f,y,w,27.6,24.8,10:12,7,1,0,7.7,66.13,15.22,8.66,6.59,6.38,6.26,7.48,11.44,9.81,14.72,0,40,26.3,28.9,40,0,0
naxos,46,,G5,m,na,o,22.4,34.7,10:10,10,8,0,7,65.69,17.7,9.68,8.39,7.2,7.38,8.95,15.1,11.5,18.49,1,75,26.9,30.1,25,50,0
naxos,47,,F4,m,na,w,30,28.6,10:18,4,5,0,5.9,66.47,18.64,9.84,8.45,7.22,7.62,9.42,15.23,11.36,18.27,1,20,24.4,28.8,20,0,0
naxos,48,,G6,m,na,o,30.9,25.9,10:25,2,32,23,10.8,63.9,17.36,10.1,8.58,7.29,7.66,9.05,13.54,11.17,17.23,1,65,25.3,29.6,30,35,0
naxos,49,,E4,m,na,w,31.6,27.6,10:24,0,0,0,10.1,68.5,18.6,9.71,7.72,6.95,7.54,9.16,13.97,11.64,17.95,1,10,22.9,29.5,0,0,10
naxos,50,,F5,f,y,w,35.5,31.5,10:36,11,0,0,7.4,69.13,18.49,9.96,8.47,7.21,7.68,8.47,14.54,11.53,16.98,1,0,21.8,32.1,0,0,0
naxos,51,,F6,f,y,w,31.3,34,10:53,11,0,0,7.1,68,18.33,10.73,7.58,7.63,7.26,7.88,14.17,11.69,17.52,1,0,20.8,32,0,0,0
naxos,52,,G7,m,na,y,35.4,33.9,10:55,1,7,0,7.6,64.63,17.78,9.79,8.35,7,7.58,8.19,14.71,11.4,17.41,1,40,22.8,32.5,10,30,0
naxos,53,,G8,m,na,y,26.3,25.6,11:02,4,1,0,9.2,70.2,18.65,8.94,7.63,7.33,7.35,8.99,15.29,11.95,18.56,1,20,22.8,32.3,0,20,0
naxos,54,,F7,m,na,o,33.5,19.3,11:05,6,1,0,7.8,62.01,17.1,9.11,7.84,7.75,7.5,8.3,13.76,11.23,18.15,0,80,26.5,27.8,10,70,0
naxos,55,,F8,m,na,w,37.1,25.2,11:23,9,10,0,11.3,59.31,14.21,7.08,5.64,5.72,6.16,7.64,12.4,9.75,14.85,1,5,20.2,30.8,0,5,0
naxos,56,,F9,m,na,o,34,34.1,11:32,10,7,0,8.6,62.45,15.5,8.03,6.9,6.15,6.17,7.7,13.14,9.72,16.11,1,20,28.5,29.1,20,0,0
naxos,57,,G9,m,na,w,40,45.7,11:33,5,4,0,8.5,58.92,13.69,7,5.46,5.7,5.69,6.87,10.04,8.51,13.64,1,30,28.5,29.1,30,0,0
naxos,58,,G3,m,na,o,28,19.9,9:50,3,11,0,8.2,70.57,17.46,8.99,7.56,6.28,6.49,7.14,12.39,10.66,16.53,1,35,23.8,31.6,35,0,0
naxos,59,,E5,m,na,o,30.1,24.5,8:39,8,10,0,8.4,71.83,17.66,9.84,8.18,6.26,7.52,8.57,14.5,11.55,17.34,1,60,44.2,24.3,10,50,0
naxos,60,,G10,m,na,o,32.4,28.1,8:44,5,25,0,7,52.01,13.07,6.56,5.9,5.55,5.5,7.03,10.05,8.84,13.85,1,60,42.3,24.5,10,50,0
naxos,61,,F10,f,y,y,24.8,18.5,8:53,4,0,0,5.7,64.16,17.18,9.46,7.53,7.68,7.57,8.07,14.15,10.72,16.61,1,5,39.5,26.5,5,0,0
naxos,62,,H1,f,n,y,33.1,41.2,8:55,1,1,10,3.5,62.26,15.39,6.29,5.36,6,7.4,6.89,10.91,9.04,14.1,1,70,31.5,27.7,10,10,50
naxos,63,,E6,m,na,w,32.8,37.6,9:00,2,0,0,5.6,67.7,15.06,7.46,5.97,5.47,5.97,6.94,12.31,9.58,14.66,0,50,31,27,0,10,40
naxos,64,,E7,f,n,w,32.6,23.7,9:08,12,1,0,3.8,69.6,16.75,8.44,6.5,6.44,5.81,6.4,12.14,10.17,15.06,1,50,30.8,28.6,10,0,40
naxos,65,,A1,m,na,y,32.6,30.8,9:05,4,0,0,6.9,65.48,17.6,9.39,6.81,6.61,6.45,8.25,14.6,11.41,14.61,1,50,31.5,27.8,0,50,0
naxos,66,,H2,m,na,o,30.4,22.6,9:15,4,14,0,6.8,56.4,13.85,7.36,5.89,5.06,5.29,6.72,9.99,8.59,14.38,1,70,35.2,30.3,0,20,50
naxos,67,,E8,m,na,o,32.5,20.5,9:29,2,0,0,7.8,61.04,14.14,7.25,6.35,5.62,5.65,6.5,10.16,8.93,13.02,1,80,36.8,29,20,60,0
naxos,68,,A2,f,n,y,35.2,34.8,9:30,0,0,0,3.5,65.88,18.22,10.44,8.48,7.84,8.57,9.51,14.72,12.66,18.7,0,70,32.8,30.1,10,60,0
naxos,69,,A3,m,na,y,34.4,33.3,9:35,9,1,0,7.5,54.28,13.81,7.27,5.7,5,5.03,6.68,10.02,8.49,14.29,0,60,31.3,32.3,20,40,0
naxos,70,,A4,f,n,y,34.3,30.2,10:46,15,0,0,6.3,66.83,17.92,9.7,8.24,6.78,7.24,8.62,14.18,11.35,18.26,1,50,32.5,31.4,10,40,0
naxos,71,,H3,f,y,o,30.8,36.6,10:47,1,11,0,7.2,63.39,14.26,7.35,6.6,5.89,5.94,6.91,10.74,9.05,14.78,1,60,0,0,5,55,0
naxos,72,,D2,f,y,w,44.9,41.7,9:13,2,4,0,5.9,66.2,17.83,10.44,8.27,6.94,7.03,7.66,14.09,12.01,16.81,1,0,32.8,30.9,0,0,0
naxos,73,,A7,m,na,y,31.7,25.3,9:05,5,8,0,7.5,59.19,14.74,8.15,6.21,6.63,6.02,6.22,11.52,9.49,14.63,0,,32.3,31,0,65,0
naxos,74,,C6,f,y,w,30,25.2,9:50,7,0,0,4,64.81,15.41,8.24,7.18,6.77,6.87,7.68,11.78,10.22,14.62,0,,32.3,30.8,40,0,0
naxos,75,,B10,,na,y,,,,,,,7.4,52.36,13.59,6.91,6.25,5.47,5.49,6.28,9.88,8.46,13.11,,,33.3,29,,,
naxos,76,,C1,m,na,y,34.2,27,9:16,4,6,0,9.1,60.44,13.59,7.29,5.73,5.06,5.08,6.59,10,8.46,14.32,1,20,35.3,28.3,0,20,0
naxos,77,,A10,,na,w,,,,,,,5,65.67,17.81,9.99,8.5,7.3,7.29,7.64,15.47,11.54,17.43,,,,,,,
naxos,78,,E1,m,o,o,22.9,27,9:16,2,14,0,8.5,59.16,14.32,7.71,6.39,5.7,5.72,6.52,10.25,9,13.09,0,60,36,25.1,20,40,0
naxos,79,,E9,f,y,y,31.7,26.2,9:32,1,0,0,6.2,62.71,14.42,6.93,6.41,5.66,5.73,7.23,11.58,10.4,14.6,1,50,34.3,29.3,10,40,0
naxos,80,,A5,m,na,o,36.2,33.6,9:56,2,33,0,9,67.23,18.94,8.96,7.14,6.92,7.3,8.28,12.53,11.53,17.43,1,,,,,,
naxos,81,,B9,f,y,y,32.8,22.6,8:52,2,0,0,5.1,68.05,15.58,7.69,6.28,6.48,6.24,6.99,12.69,9.63,15.29,0,,31,31.8,,,
naxos,82,,A6,f,y,w,34.7,18.8,10:09,9,13,0,6,62.03,16.6,9.84,7.26,7.4,7.06,8.33,14.08,10.85,16.86,1,,,,,,
naxos,83,,E10,,na,y,,,,,,,3.9,69.65,17.9,9.99,8.15,7.42,7.41,8.89,13.64,11.55,18.44,,,32.5,32,,,
naxos,84,,D3,,na,w,,,,,,,7.9,57.94,15.71,8.2,6.55,6.02,6.13,7.99,11.83,10.34,16.59,,,,,,,
naxos,85,,D8,m,na,o,30.1,24.5,11:02,1,6,0,7.8,67.67,18.33,9.59,7.48,6.73,6.66,7.59,13.97,11.2,17.65,1,,34.8,30.5,,,
naxos,86,,C7,m,y,y,34,24.7,10:55,4,22,0,9.1,67.23,17.28,10.92,8.14,7.53,7.61,8.57,14.65,12.29,18.52,0,,,,,,
naxos,87,,C3,f,y,y,35.9,26.3,11:04,8,11,0,5.6,70.38,19.14,10.26,8.39,7.95,7.95,8.35,15.97,11.86,18.33,1,,,,,,
naxos,88,,C8,f,y,o,33.4,31.1,11:22,7,8,0,5.9,65.8,18.3,10.26,8.6,7.35,7.54,8.66,14.9,11.08,17.63,0,,36.1,34.2,,,
naxos,89,,D7,m,na,y,28.9,23,7:44,1,0,0,8.1,63.76,14.66,7.23,6.19,6.18,6.29,6.88,11.53,9.4,14.87,1,40,54.3,23.9,10,30,0
naxos,90,,F1,f,na,y,28.9,24.2,7:42,6,0,0,5.6,69.01,18.26,8.93,7.45,7.55,7.46,7.34,14.62,10.98,16.63,1,,51.8,24.5,,,
naxos,91,,E1,m,na,yo,26.6,27.7,7:49,4,4,0,9,67.82,18.85,9.78,8.14,7.46,7.45,9.08,14.11,11.09,17.49,1,50,58.8,23.8,50,0,0
naxos,92,,E2,m,na,o,27.7,30.2,8:09,3,0,0,6.7,65.36,17.73,9.22,6.96,7.48,7.46,8.34,14.56,11.74,16.75,0,80,53.3,24.8,40,30,10
naxos,93,,C3,m,na,w,29.4,24.1,,8,2,0,9.1,62.83,15,7.66,6.36,6.21,6.2,7.64,11.68,10.06,14.92,1,50,46,26.9,10,40,0
naxos,94,,C4,m,na,y,29.4,22.8,,7,1,0,,71.64,19.16,9.6,6.97,8.12,8.15,9.14,14.42,12.53,19.4,0,60,48.3,26.8,10,50,0
naxos,95,,E3,m,na,w,32,22.9,8:19,4,0,0,5.1,56.56,14.05,7.27,5.57,5.5,5.47,7.4,11.01,8.6,13.89,0,25,45.1,27.8,25,0,0
naxos,96,,F3,m,na,o,34.1,25.8,8:23,4,11,0,8,62.07,17.09,9.9,8.12,6.71,7,7.67,12.88,10.73,16.5,1,70,42.5,28.2,10,60,0
naxos,97,,C5,m,na,w,35.2,30.1,,3,4,0,8.1,66.61,18.62,10.29,8.34,7.2,7.2,8.2,14.55,11.98,18.32,0,20,46,28.2,0,0,20
naxos,98,,C6,m,na,o,34.6,29.2,,4,12,0,11,62.13,15.64,7.75,6.01,6.12,6.12,6.71,12.19,9.82,14.9,0,80,56.1,28.6,50,30,0
naxos,99,,E6,m,na,o,34.1,35.7,9:02,3,7,41,8.5,66.88,17.77,10.79,7.9,7.34,7.58,10,14.33,11.88,19.5,0,30,47.8,29.4,0,30,0
naxos,100,,F5,f,y,y,32.5,30.2,8:32,1,5,0,6.7,55.93,14.52,7.1,5.69,5.61,6.09,6.13,11.14,8.13,15.27,1,60,37,29,60,0,0
naxos,101,,D8,m,na,y,33.5,37.3,9:13,6,1,0,8.2,65.64,17.26,8.21,6.45,7.32,7.41,7.45,13.25,10.22,17.02,0,60,37.3,30.4,3,0,60
naxos,102,,E8,m,na,o,34.2,29.2,9:32,2,4,0,8,61.81,15.43,7.95,6.84,6.01,6.04,7.64,13.11,9.57,16.02,1,50,37.2,33.8,10,40,0
naxos,103,,E9,m,na,o,33.5,28.5,9:39,5,5,0,8.9,64.81,16.57,8.78,6.26,7.3,7.26,7.88,14.01,11.12,16.25,1,40,32.8,33,40,0,0
naxos,104,,F7,m,na,w,36.7,27.1,9:13,11,5,0,8.8,72.43,19.2,9.63,6.99,8.16,8.2,9.16,14.51,12.6,19.49,1,50,31.8,33.8,0,50,0
naxos,105,,E7,f,y,w,33.4,32,9:51,15,3,8,5.5,65.85,18.66,10.3,8.36,7.19,7.22,8.18,14.5,11.91,18.23,1,0,31.9,34.3,0,0,0
naxos,106,,F8,m,na,wy,31.8,40.3,9:51,4,2,0,6.7,56.92,14.61,7.13,5.8,5.72,6.16,6.2,11.21,8.25,15.38,1,90,33.5,34.8,10,80,0
naxos,107,,F9,m,na,y,33.2,33.3,9:58,2,2,0,8.9,63.21,14.75,7.29,6.26,6.23,6.31,6.94,11.67,9.45,14.93,0,90,35,33.5,80,10,0
naxos,108,,E10,f,n,y,33.7,37.8,10:02,5,3,0,4.4,64.2,17.94,10.07,8.13,7.11,7.13,8.12,14.14,11.46,18,1,10,41.8,35.5,10,0,0
naxos,109,,G1,m,na,y,34.1,38,10:08,3,0,22,7.8,65.13,17.69,9.17,6.88,7.39,7.32,8.05,14.22,11.35,16.43,1,60,32.8,35.8,40,20,0
naxos,110,,F10,m,na,o,35.3,37.7,10:17,1,17,0,9,64.56,15,7.44,5.91,5.44,5.89,6.83,12.25,9.5,14.62,0,50,30.1,35.3,0,0,50
naxos,111,,D9,f,n,w,34.2,31.5,10:35,5,2,0,4.9,64.88,18.09,9.93,8.18,7.24,7.28,8.84,15.15,11.89,17.62,1,10,31.8,35.4,10,0,0
naxos,112,,D10,m,na,w,34.7,34,,14,0,0,8.3,70.4,18.34,8.95,7.49,7.58,7.51,7.4,14.78,11.07,16.82,0,10,26.3,39.8,10,0,0
naxos,113,,G2,m,na,wy,29.5,26.4,8:19,,,,6.8,62.14,14.39,7.21,6.09,6.16,6.25,6.8,11.48,9.34,14.81,,5,31.1,26.4,5,0,0
naxos,114,,G3,,na,,33.1,27.6,8:26,,,,4.6,60.05,14.08,7.26,6.26,5.89,5.92,5.89,10.49,9.28,13.69,,35,28.3,28,0,10,25
naxos,115,,C9,,na,,32.8,31.5,8:20,,,,6.5,62.43,17.13,9.11,8.17,6.77,7.06,7.72,12.93,10.82,16.59,,20,26.2,29.3,0,20,0
naxos,116,,C10,,na,,28.5,26.3,8:36,,,,6.2,64.64,18.41,9.97,8.22,7.31,7.48,8.93,15.97,12.19,17.3,,10,26.9,28.3,10,0,0
naxos,117,,G5,,na,,26.1,32.1,8:42,,,,6.1,62.67,14.58,7.19,6.14,6.18,6.23,6.82,11.5,9.31,14.83,,,,,,,
naxos,118,,A6,,na,,27.3,26.3,8:37,,,,8.8,67.37,19.22,10.01,7.79,8.13,8.19,9.15,14.93,12.96,19.62,,50,26.8,28.6,20,30,0
naxos,119,,A8,,na,,30.1,30.8,8:44,,,,8.6,68.64,18.13,8.77,7.36,7.48,7.39,7.25,14.6,10.85,16.44,,55,28.8,28.8,15,40,0
naxos,120,,A7,,na,,29.5,28.4,8:43,,,,8.7,,,,,,,,,,,,40,22.2,30.5,0,40,0
naxos,121,,B3,,na,,31.3,25,8:50,,,,5,,,,,,,,,,,,50,21.9,29.9,0,50,0
naxos,122,,G6,,na,,31.6,29.2,8:52,,,,6.5,,,,,,,,,,,,65,29.9,26.4,40,25,0
naxos,123,,A9,,na,,29,28.5,8:58,,,,7.4,,,,,,,,,,,,20,23,30.3,10,10,0
naxos,124,,A10,,na,,31.4,35.2,9:12,,,,7.6,,,,,,,,,,,,99,24.4,31.6,40,60,0
naxos,125,,H7,,na,,,,,,,,7.7,,,,,,,,,,,,90,28.5,31.5,60,30,0
naxos,126,,H8,,na,,31.4,30.3,9:34,,,,8.1,,,,,,,,,,,,40,20.2,32,20,0,20
naxos,127,,B4,,na,,28.6,26.3,9:25,,,,8.4,,,,,,,,,,,,20,19,33.5,0,20,0
naxos,128,,H10,,na,,31.4,27.5,9:44,,,,7.5,,,,,,,,,,,,60,19.1,33.3,10,50,0
naxos,129,,B5,,na,,31.9,25.6,9:50,,,,4.5,,,,,,,,,,,,10,19,24,0,10,0
naxos,130,,H9,,na,,32.5,35.1,10:26,,,,6.7,,,,,,,,,,,,20,20.1,34.8,10,10,0
naxos,131,,G10,,na,,34.1,34.7,10:30,,,,5.4,,,,,,,,,,,,75,24.4,30.8,25,50,0
naxos,132,,H2,,na,,30.5,30.7,10:38,,,,7.9,,,,,,,,,,,,30,18,34.8,0,30,0
naxos,133,,H3,,na,,32,32.1,10:50,,,,6.1,,,,,,,,,,,,70,21.4,35,20,50,0
naxos,134,,B10,,na,,32.2,29.9,11:10,,,,8.3,,,,,,,,,,,,,,,,,
naxos,135,,H4,,na,,34.5,29.4,11:52,,,,9.4,,,,,,,,,,,,50,65,25.1,0,50,0
ios,136,,E1,m,na,o,32.9,24.3,8:33,1,0,0,8.6,70.13,18.73,9.87,7.55,6.91,7.1,9.55,15.03,12.17,19.03,1,30,55.1,27.9,0,30,0
ios,137,,E2,m,na,w,28.3,26.9,8:35,2,2,8,6.2,60.27,16.61,8.24,6.87,6.55,6.74,8.08,13.03,10.28,16.05,0,2,41.8,28.9,0,2,0
ios,138,,E3,m,na,w,32.8,24,8:50,3,0,10,6.5,63.96,16.39,7.77,7.16,6.53,6.56,9.3,12.56,10.57,17.6,1,10,40.3,29,0,10,0
ios,139,,E4,m,na,w,33.5,25.3,9:10,7,0,14,8.5,67.76,18.8,10.6,8.13,7.11,7.33,8.75,14.3,11.21,18.12,1,30,42,29.6,20,10,0
ios,140,,H1,f,y,w,29,21,9:20,7,0,0,7.1,66.88,15.64,7.73,6.33,6.55,6.26,7.54,10.83,9.87,15.38,1,0,44.3,29.3,0,0,0
ios,141,,F1,m,na,w,27.9,20,9:24,8,5,6,8.3,64.59,18.14,9.64,7.56,7.31,7.13,7.59,13.69,10.93,17.07,1,60,45,27.2,10,50,0
ios,142,,E7,m,na,w,27,24.7,9:26,1,0,0,7.4,66.59,17.5,9.09,7.19,7.53,6.9,7.99,15.04,10.82,18,0,10,41.3,32.8,10,0,0
ios,143,,E6,m,na,w,29.9,26.6,9:28,5,2,0,8.6,65.96,18.79,10.5,7.38,6.84,7.1,7.89,14.6,11.96,,1,,41,33,,,
ios,144,,E8,m,na,w,,,,0,14,33,7.4,65.29,17.7,9.19,6.18,7.63,7.64,8.24,13.23,10.78,17.58,1,,,,,,
ios,145,,G1,f,y,o,26.1,26.3,8:42,11,0,0,5.9,63.37,15.01,7.95,6.14,5.91,6,7.09,10.64,9.32,14.58,0,40,39,34.3,0,40,0
ios,146,,E9,f,y,ow,31.8,39.4,10:06,9,0,0,7.2,68.68,16.33,8.4,6.1,6.7,5.86,6.95,11.1,9.72,16.03,1,,,,,,
ios,147,,E5,m,na,w,31.4,26.7,9:20,1,0,2,6.5,62.32,17.08,9.06,6.56,6.6,6.58,7.54,14.37,11.13,16.02,0,0,40.1,31.3,0,0,0
ios,148,,F7,f,y,w,27.3,37.6,10:44,12,0,0,5.8,63.51,13.7,7.68,6.02,6.22,6.33,7.78,11.13,10.07,15.58,1,40,37,33,0,40,0
ios,149,,D7,m,na,w,31.5,33.3,10:47,5,0,52,7.8,66.13,17.65,9.64,7.56,6.88,7.43,8.7,14.2,11.67,18.09,0,50,40.8,32.5,0,50,0
ios,150,,F8,m,na,w,30.6,23.8,10:57,6,0,41,8,71.34,18.66,9.78,8.93,7.94,7.92,8.76,14.39,11.98,17.18,1,10,41,32.3,0,10,0
ios,151,,G9,f,y,w,30.1,33.2,10:37,5,0,84,6.5,63.29,14.94,8.18,5.8,6.41,6.74,8.17,12.16,9.59,16.04,1,50,43.4,32.3,10,40,0
ios,152,,E10,m,na,o,35.2,29.2,11:07,4,0,0,9.2,66.95,18.44,9.77,7.73,7.23,7.4,8.83,13.96,11.2,18.69,1,0,38.1,33.6,0,0,0
ios,153,,D10,m,na,w,32.4,33.3,10:59,4,0,0,7,63.25,18.54,9.61,7.73,6.89,6.9,7.99,14.05,11.73,17.46,1,0,38.3,33.6,0,0,0
ios,154,,G4,m,na,w,34.1,33.6,11:12,2,0,5,6.7,60.9,16.57,8.77,6.88,6.55,6.08,7.99,13.52,10.92,16.97,1,50,44.9,31.3,10,40,0
