ISLAND,ISLAND ID,KB ID #,BAG ID,YEAR,DATE,morph,sex,substrate_type,Distance to refuge (cm),# refugia,Nearest refuge type,Perch height,% open ground,% shrub cover,% herbaceous veg,% tree cover,% stream,Nearest veg height (cm),Nearest veg type,"Light (1,2,3)","Particle size (1,2,3)",% RHumidity,Air temp,Twig width,General Notes,gps_lat,gps_long,elevation_m
naxos,18,,D6,2022,2022.05.21,w,f,stone wall,8,many wall,wall,210,100,-,-,-,-,2,herb veg,1,3,31.6,31,,,,,
naxos,19,,C8,2022,2022.05.21,w,f,stone wall,2,many wall,wall,220,980,-,10,-,-,5,grass,1,3,33.5,25.3,,,,,
naxos,20,,D8,2022,2022.05.21,w,m,stone wall,15,many wall,wall,8,75,-,25,-,-,18,herb veg,1,3,27.4,32,,,,,
naxos,21,,D1,2022,2022.05.21,w,m,tree,40,5,tree,40,60,-,-,40,-,15ft tree,tree,1,3,38.5,22.4,,,,,
naxos,22,,E2,2022,2022.05.21,w,m,dirt,1,6,herb veg,0,10,-,90,-,-,19,herb veg,2,2,33.9,26,,"L = 30.3, S = 26.2, 8:45 Pm",,,
naxos,23,,D3,2022,2022.05.21,y,f,tree,10,6,tree,358,40,-,10,50,-,15ft tree,tree,1,3,34,24.6,,,,,
naxos,24,,E1,2022,2022.05.21,y,m,tree,15,4,tree hole,400,40,-,10,50,-,15m tree,tree,2,3,33.8,24.9,,"L = 29.9, S = 25.8",,,
naxos,25,,D7,2022,2022.05.21,y,m,wall,22,many wall,wall,400,80,-,20,-,-,30,herb veg,1,3,28.4,31.9,,,,,
naxos,26,,C5,2022,2022.05.21,o,m,grass,10,12,hole,0,50,0,10,40,-,15m tree,tree,2,2,34,26.5,,,,,
naxos,27,,D5,2022,2022.05.21,y,m,rock,110,10,wall,0,100,-,-,-,-,2,grass,1,3,33.8,28.2,,,,,
naxos,28,,E3,2022,2022.05.21,o,m,wall,0,many wall,wall,316,50,-,50,-,-,15,herb veg,3,3,36,26.4,,,,,
naxos,29,,C3,2022,2022.05.21,w,m,wall,15,many wall,wall,150,95,-,5,-,-,12,herb veg,1,3,29.4,31,,,,,
naxos,30,,D4,2022,2022.05.21,w,f,wall,4,many wall,wall,410,90,-,10,-,-,20,herb veg,3,3,34.8,25,,,,,
naxos,31,,C9,2022,2022.05.21,o,m,wall,1,many wall,wall,216,90,-,10,-,-,5,grass,1,3,35,24.9,,,,,
naxos,32,,C4,2022,2022.05.21,w,m,wall,0,many wall,wall,88,95,-,5,-,-,27,herb veg,1,3,33,29.6,,,,,
naxos,33,,A10,2022,2022.05.21,w,m,rock,61,10,crevice,30,60,-,40,-,-,10,herb veg,2,3,36.8,22.3,,,,,
naxos,34,,C10,2022,2022.05.21,o,m,wall,1,many wall,wall,216,90,-,10,-,-,5,grass,1,3,34,24.9,,,,,
naxos,35,,C7,2022,2022.05.21,w,m,wall,13,many wall,wall,300,90,-,10,-,-,3,grass,1,3,33.8,25,,,,,
naxos,36,,G1,2022,2022.05.22,o,m,wall,30,many wall,wall,412,50,0,50,-,-,14,herb veg,1,3,33,24,,,,,
naxos,37,,D9,2022,2022.05.22,o,f,wall,21,many wall,wall,215,50,10,40,-,-,34,herb veg,1,3,26.9,26.1,,,,,
naxos,38,,G2,2022,2022.05.22,w,m,wall,40,many wall,wall,610,75,-,25,-,-,20,herb veg,3,3,24.1,25.8,,,,,
naxos,39,,D10,2022,2022.05.22,o,m,wall,8,many wall,wall,583,20,-,10,70,-,20m,tree,3,3,31.2,24.8,,,,,
naxos,40,,C2,2022,2022.05.22,o,f,grass,50,0,grass,0,25,-,75,-,-,10,grass,2,2,32.2,25.3,,,,,
naxos,41,,F1,2022,2022.05.22,w,m,wall,41,many wall,wall,526,50,-,50,-,-,22,herb veg,1,3,21.6,26.6,,,,,
naxos,42,,C1,2022,2022.05.22,w,m,rock,11,3,hole,2,70,-,-,30,-,2,grass,1,3,26.6,26.4,,,,,
naxos,43,,G4,2022,2022.05.22,w,m,dirt,1,17,herb veg,0,0,50,50,-,-,27,herb veg,2,1,27,30.1,,,,,
naxos,44,,F2,2022,2022.05.22,w,m ,branch,5,many wall,wall,50,60,40,-,-,-,11,shrub,2,2,26.3,28.9,,,,,
naxos,45,,F3,2022,2022.05.22,w,f,wall,5,many wall,wall,60,60,40,-,-,-,11,shrub,2,3,26.3,28.9,,,,,
naxos,46,,G5,2022,2022.05.22,o,m,wall,10,many wall,wall,98,25,25,50,-,-,10,herb veg,1,3,26.9,30.1,,,,,
naxos,47,,F4,2022,2022.05.22,w,m,dirt,60,4,crevice,0,70,20,-,-,-,39,shrub,1,1,24.4,28.8,,,,,
naxos,48,,G6,2022,2022.05.22,o,m,wall,5,many wall,wall,68,35,30,rest,-,-,27,shrub,1,3,25.3,29.6,,,,,
naxos,49,,E4,2022,2022.05.22,w,m,tree,60,8,hole,80,90,-,-,10,-,20m,tree,2,3,22.9,29.5,,,,,
naxos,50,,F5,2022,2022.05.22,w,f,dirt,3,20,crevice,0,100,-,-,-,-,2,grass,1,1,21.8,32.1,,,,,
naxos,51,,F6,2022,2022.05.22,w,f,wall,2,many wall,wall,84,100,-,-,-,-,17,grass,1,3,20.8,32,,,,,
naxos,52,,G7,2022,2022.05.22,y,m,rock,20,12,crevice,20,60,10,30,-,-,22,herb veg,3,3,22.8,32.5,,,,,
naxos,53,,G8,2022,2022.05.22,y,m,rock,50,18,crevice,60,80,-,20,-,-,30,herb veg,1,3,22.8,32.3,,,,,
naxos,54,,F7,2022,2022.05.22,o,m,grass,10,many wall,wall,0,20,10,70,-,-,27,grass,3,3,26.5,27.8,,,,,
naxos,55,,F8,2022,2022.05.22,w,m,wall,0,many wall,wall,47,95,-,5,-,-,2,grass,1,3,20.2,30.8,,,,,
naxos,56,,F9,2022,2022.05.22,o,m,rock,2,1,shrub,13,70,20,-,-,-,35,shrub,2,3,28.5,29.1,,,,,
naxos,57,,G9,2022,2022.05.22,w,m,rock,2,1,shrub,13,70,30,-,-,-,35,shrub,2,3,28.5,29.1,,,,,
naxos,58,,G3,2022,2022.05.22,o,m,grss,21,5,grass,0,65,35,-,-,-,12,grass,1,2,23.8,31.6,,,,,
naxos,59,,E5,2022,2022.05.23,o,m,wall,15,many wall,wall,308,40,10,50,-,-,12,grass,2,3,44.2,24.3,,,,,
naxos,60,,G10,2022,2022.05.23,o,m,grass,20,5,herb veg,0,40,10,50,-,-,42,herb veg,2,2,42.3,24.5,,,,,
naxos,61,,F10,2022,2022.05.23,y,f,dirt,35,3,crevice,0,95,5,-,-,-,31,shrub,3,1,39.5,26.5,,,,,
naxos,62,,H1,2022,2022.05.23,y,f,Tree,8,6,tree,15,30,10,10,50,-,15 ft tree,tree,1,3,31.5,27.7,,,,,
naxos,63,,E6,2022,2022.05.23,w,m,tree,212,3,shrub,212,50,-,10,40,-,15ft tree,tree,1,3,31,27,,,,,
naxos,64,,E7,2022,2022.05.23,w,f,tree,316,3,hole,313,50,10,-,40,-,15ft tree,tree,2,3,30.8,28.6,,,,,
naxos,65,,A1,2022,2022.05.23,y,m,wall,11,many wall,wall,355,50,-,50,-,-,15,herb veg,1,3,31.5,27.8,,,,,
naxos,66,,H2,2022,2022.05.23,o,m,tree,2,8,herb veg,40,30,-,20,50,-,15ft tree,tree,3,3,35.2,30.3,,,,,
naxos,67,,E8,2022,2022.05.23,o,m,dirt,15,11,wall,618,20,20,60,-,-,34,herb veg,3,1,36.8,29,,,,,
naxos,68,,A2,2022,2022.05.23,y,f,branch,25,18,wall,10,30,10,60,-,-,14,shrub,1,3,32.8,30.1,,,,,
naxos,69,,A3,2022,2022.05.23,y,m,rock,18,3,shrub,0,40,20,40,-,-,28,shrub,2,3,31.3,32.3,,,,,
naxos,70,,A4,2022,2022.05.23,y,f,dirt,25,4,wall,415,50,10,40,-,-,3,grass,2,1,32.5,31.4,,,,,
naxos,71,,H3,2022,2022.05.23,o,f,tree,7,8,hole,306,40,5,55,-,-,15ft tree,tree,2,3,-,-,,,,,
naxos,72,,D2,2022,2022.05.24,w,f,dirt,275,0,wall,0,100,-,-,-,-,12,herb veg,1,1,32.8,30.9,,,,,
naxos,73,,A7,2022,2022.05.24,y,m,leaves,30,2,herb veg,0,35,0,65,-,-,80,herb veg,1,1,32.3,31,,,,,
naxos,74,,C6,2022,2022.05.24,w,f,wall,5,many wall,wall,165,50,40,-,-,-,300,shrub,2,3,32.3,30.8,,,,,
naxos,75,,B10,2022,2022.05.24,y,,wall,,,,,,,,,,,,,,33.3,29,,,,,
naxos,76,,C1,2022,2022.05.24,y,m,rock,28,many wall,wall,2,80,-,20,-,-,3,grass,1,3,35.3,28.3,,"No flag, S= 27, L= 34.2",,,
naxos,77,,A10,2022,2022.05.24,w,,,,,,,,,,,,,,,,,,,,,,
naxos,78,,E1,2022,2022.05.24,o,m,wall,35,many wall,wall,515,40,20,40,-,-,560,shrub,2,3,36,25.1,,"No flag, L= 22.9, S = 26.0 ",,,
naxos,79,,E9,2022,2022.05.24,y,f,dirt,10,10,crevice,250,50,10,40,-,-,12,herb veg,3,1,34.3,29.3,,,,,
naxos,80,,A5,2022,2022.05.24,o,m,,,,,,,,,,,,,,,,,,no data,,,
naxos,81,,B9,2022,2022.05.24,y,f,wall,,,,,,,,,,,,,,31,31.8,,no data,,,
naxos,82,,A6,2022,2022.05.24,w,f,,,,,,,,,,,,,,,,,,no data,,,
naxos,83,,E10,2022,2022.05.24,y,,wall,,,,,,,,,,,,,,32.5,32,,,,,
naxos,84,,D3,2022,2022.05.24,w,,,,,,,,,,,,,,,,,,,,,,
naxos,85,,D8,2022,2022.05.24,o,m,wall,,,,,,,,,,,,3,3,34.8,30.5,,,,,
naxos,86,,C7,2022,2022.05.24,y,m,,,,,,,,,,,,,,,,,,,,,
naxos,87,,C3,2022,2022.05.24,y,f,wall,,,,,,,,,,,,,,,,,,,,
naxos,88,,C8,2022,2022.05.24,o,f,shrub,,,,,,,,,,,,,,36.1,34.2,,,,,
naxos,89,,D7,2022,2022.05.28,y,m,wall,3,many wall,wall,50,60,10,30,-,-,32,herb veg,1,3,54.3,23.9,,,,,
naxos,90,,F1,2022,2022.05.28,y,,wall,,,,,,,,,,,,,,51.8,24.5,,,,,
naxos,91,,E1,2022,2022.05.28,yo,m,wall,12,many wall,wall,52,50,55,-,-,-,48,shrub,1,3,58.8,23.8,,,,,
naxos,92,,E2,2022,2022.05.28,o,m,wall,8,many wall,wall,212,20,40,30,10,-,3 meter,tree,3,3,53.3,24.8,,,,,
naxos,93,,C3,2022,2022.05.28,w,m,wall,22,10,wall,317,50,10,40,-,-,21,herb veg,1,3,46,26.9,,,,,
naxos,94,,C4,2022,2022.05.28,y,m,wall,25,many wall,wall,316,40,10,50,-,-,20,herb veg,1,3,48.3,26.8,,,,,
naxos,95,,E3,2022,2022.05.28,w,m,wall,12,many wall,wall,10,75,15,-,-,-,10,shrub,1,3,45.1,27.8,,,,,
naxos,96,,F3,2022,2022.05.28,o,m,wall,0,many wall,herb veg,118,30,10,60,-,-,39,herb veg,2,3,42.5,28.2,,,,,
naxos,97,,C5,2022,2022.05.28,w,m,wall,15,many wall,wall,50,80,-,-,20,-,5 meter,tree,1,3,46,28.2,,,,,
naxos,98,,C6,2022,2022.05.28,o,m,wall,11,many wall,wall,280,20,50,30,-,-,290,herb veg,1,3,56.1,28.6,,,,,
naxos,99,,E6,2022,2022.05.28,o,m,wall,9,many wall,wall,310,30,-,30,-,-,40,herb veg,1,3,47.8,29.4,,,,,
naxos,100,,F5,2022,2022.05.28,y,f,tree,300,1,hole,410,40,60,-,-,-,5 meter,tree,2,3,37,29,,,,,
naxos,101,,D8,2022,2022.05.28,y,m,tree,20,2,hole,411,40,3,-,rest,-,5m,tree,2,3,37.3,30.4,,,,,
naxos,102,,E8,2022,2022.05.28,o,m,wall,15,many wall,wall,335,50,10,40,-,-,39,herb veg,2,3,37.2,33.8,,,,,
naxos,103,,E9,2022,2022.05.28,o,m,wall,22,many wall,wall,585,60,40,-,-,-,10,shrub,1,3,32.8,33,,,,,
naxos,104,,F7,2022,2022.05.28,w,m,wall,30,many wall,wall,39,50,-,herb veg,-,-,21,herb veg,2,3,31.8,33.8,,,,,
naxos,105,,E7,2022,2022.05.28,,f,wall,10,many wall,wall,60,100,-,-,-,-,2,herb veg,1,3,31.9,34.3,,,,,
naxos,106,,F8,2022,2022.05.28,,m,dirt,5,4,herb veg,0,10,10,80,-,-,30,herb veg,2,1,33.5,34.8,,,,,
naxos,107,,F9,2022,2022.05.28,,m,shrub,0,8,shrub,30,10,80,10,-,-,40,shrub,2,2,35,33.5,,,,,
naxos,108,,E10,2022,2022.05.28,,f,grass,20,3,shrub,0,90,10,-,-,-,26,shrub,1,2,41.8,35.5,,,,,
naxos,109,,G1,2022,2022.05.28,,m,rock,12,7,wall,50,40,40,20,-,-,50,herb veg,1,3,32.8,35.8,,,,,
naxos,110,,F10,2022,2022.05.28,,m,tree,65,1,hole,65,50,-,-,50,-,5 meter,tree,2,3,30.1,35.3,,,,,
naxos,111,,D9,2022,2022.05.28,w,f,wall,10,many wall,wall,60,90,10,-,-,-,410,shrub,2,3,31.8,35.4,,path,,,
naxos,112,,D10,2022,2022.05.28,w,m,wall,18,many wall,wall,460,90,10,0,-,-,11,shrub,1,3,26.3,39.8,,pano,,,
naxos,113,,G2,2022,2022.05.29,wy,m,wall,12,many wall,wall,193,95,5,-,-,-,11,shrub,1,3,29.1,26.4,,,,,
naxos,114,,G3,2022,2022.05.29,w,f,wall,11,many wall,wall,160,95,5,-,-,-,11,shrub,1,3,31.1,26.4,,,,,
naxos,115,,C9,2022,2022.05.29,w,f,tree,16,2,hole,10,65,-,10,25,-,500 tree,tree,2,3,28.3,28,,,,,
naxos,116,,C10,2022,2022.05.29,w,m,wall,3,15,wall,2,80,-,20,-,-,2,herb veg,2,3,26.2,29.3,,,,,
naxos,117,,G5,2022,2022.05.29,w,,wall,15,many wall,wall,35,90,10,-,-,-,45,shrub,2,3,26.9,28.3,,,,,
naxos,118,,A6,2022,2022.05.29,w,,,,,,,,,,,,,,,,,,,,,,
naxos,119,,A8,2022,2022.05.29,y,m,wall,8,many wall,wall,15,50,20,30,-,-,10,herb veg,1,3,26.8,28.6,,,,,
naxos,120,,A7,2022,2022.05.29,o,m,wall,10,many wall,wall,40,45,15,40,-,-,35,herb veg,2,3,28.8,28.8,,,,,
naxos,121,,B3,2022,2022.05.29,w,m,wall,5,6,herb veg,35,60,-,40,-,-,200,herb veg,1,3,22.2,30.5,,,,,
naxos,122,,G6,2022,2022.05.29,y,m,wall,8,many wall,herb veg,40,50,-,50,-,-,185,herb veg,2,3,21.9,29.9,,,,,
naxos,123,,A9,2022,2022.05.29,o,m,wall,6,many wall,herb veg,65,35,40,25,-,-,80,herb veg,3,3,29.9,26.4,,,,,
naxos,124,,A10,2022,2022.05.29,w,m,wall,7,many wall,wall,52,80,10,10,-,-,26,shrub,1,3,23,30.3,,,,,
naxos,125,,H7,2022,2022.05.29,o,f,grass,5,10,grass,0,0,40,60,-,-,5,herb veg,2,3,24.4,31.6,,,,,
naxos,126,,H8,2022,2022.05.29,o,m,branch,21,18,crevice,89,10,60,30,-,-,35,shrub,3,2,28.5,31.5,,,,,
naxos,127,,B4,2022,2022.05.29,y,m,wall,11,many wall,wall,28,60,20,-,20,-,26,shrub,2,3,20.2,32,,,,,
naxos,128,,H10,2022,2022.05.29,y,f,wall,20,many wall,herb veg,62,80,-,20,-,-,27,herb veg,2,3,19,33.5,,,,,
naxos,129,,B5,2022,2022.05.29,y,f,wall,50,4,herb veg,10,40,10,50,-,-,40,herb veg,3,3,19.1,33.3,,,,,
naxos,130,,H9,2022,2022.05.29,y,m,wall,5,many wall,wall,42,90,-,10,-,-,41,herb veg,1,3,19,24,,,,,
naxos,131,,G10,2022,2022.05.29,y,f,wall,5,many wall,wall,30,80,10,10,-,-,20,shrub,1,3,20.1,34.8,,,,,
naxos,132,,H2,2022,2022.05.29,o,m,rocks,5,20,crevice,31,25,25,50,-,-,20,herb veg,2,3,24.4,30.8,,,,,
naxos,133,,H3,2022,2022.05.29,y,f,wall,10,many wall,herb veg,50,70,-,30,-,-,109,herb veg,3,3,18,34.8,,,,,
naxos,134,,B10,2022,2022.05.29,o,m,wall,9,many wall,wall,40,30,20,50,-,-,30,shrub,3,3,21.4,35,,,,,
naxos,135,,H4,2022,2022.05.29,y,m,,,,,,,,,,,,,,,,,,,,,
ios,136,,E1,2022,2022.05.31,o,m,wall,17,18,herb veg,86,50,-,50,-,-,22,herb veg,1,3,65,25.1,,,,,
ios,137,,E2,2022,2022.05.31,w,m,ground,1,1,herb veg,0,70,-,30,-,-,31,herb veg,2,1,55.1,27.9,,,,,
ios,138,,E3,2022,2022.05.31,w,m,rock,28,10,crevice,11,98,-,2,-,-,10,herb veg,1,3,41.8,28.9,,,,,
ios,139,,E4,2022,2022.05.31,w,m,rock,30,3,crevice,22,90,-,10,-,-,11,herb veg,1,3,40.3,29,,,,,
ios,140,,H1,2022,2022.05.31,w,f,rock,28,5,shrub,0,70,20,10,-,-,14,shrub,3,3,42,29.6,,,,,
ios,141,,F1,2022,2022.05.31,w,m,wall,5,many wall,wall,45,100,-,-,-,-,27,herb veg,3,3,44.3,29.3,,,,,
ios,142,,E7,2022,2022.05.31,w,m,wall,0,15,wall,20,40,10,50,-,-,13,herb veg,3,3,45,27.2,,,,,
ios,143,,E6,2022,2022.05.31,w,m,rock,31,2,shrub,19,90,10,-,-,-,2,shrub,1,3,41.3,32.8,,,,,
ios,144,,E8,2022,2022.05.31,w,m,"""e5""",,,,,,,,,,,,,,41,33,,,,,
ios,145,,G1,2022,2022.05.31,o,f,,,,,,,,,,,,,,,,,,,,,
ios,146,,E9,2022,2022.05.31,ow,f,grass,10,3,crevice,0,60,-,40,-,-,3,grass,1,2,39,34.3,,,,,
ios,147,,E5,2022,2022.05.31,w,m,E5,,,,,,,,,,,,,,,,,,,,
ios,148,,F7,2022,2022.05.31,w,f,wall,11,many wall,wall,38,100,-,-,-,-,9,grass,1,3,40.1,31.3,,,,,
ios,149,,D7,2022,2022.05.31,w,m,wall,2,many wall,wall,25,60,-,40,-,-,27,grass,1,3,37,33,,,,,
ios,150,,F8,2022,2022.05.31,w,m,wall,0,many wall,herb veg,31,50,-,50,-,-,3,herb veg,3,3,40.8,32.5,,,,,
ios,151,,G9,2022,2022.05.31,w,f,wall,4,many wall,herb veg,21,90,-,10,-,-,24,herb veg,1,3,41,32.3,,,,,
ios,152,,E10,2022,2022.05.31,o,m,wall,2,many wall,herb veg,180,50,10,40,-,-,11,herb veg,1,3,43.4,32.3,,,,,
ios,153,,D10,2022,2022.05.31,w,m,rock,21,3,crevice,15,100,-,-,-,-,5,herb veg,1,3,38.1,33.6,,,,,
ios,154,,G4,2022,2022.05.31,w,m,wall,5,many wall,wall,18,100,-,-,-,-,5,herb veg,1,3,38.3,33.6,,,,,
ios,155,,A8,2022,2022.06.01,y,m,wall,56,many wall,wall,110,50,10,40,-,-,31,herb veg,1,3,44.9,31.3,,,,,
ios,156,,B3,2022,2022.06.01,w,m,wall,15,many wall,wall,100,100,-,-,-,-,3,herb veg,1,3,39.5,32,,,,,
ios,157,,A7,2022,2022.06.01,w,f,leaves,60,2,crevice,0,100,-,-,-,-,2,herb veg,1,2,44.8,30.5,,,,,
ios,158,,A6,2022,2022.06.01,w,m,cement,50,2,crevice,0,100,-,-,-,-,2,herb veg,1,3,42.1,31.9,,,,,
ios,159,,G8,2022,2022.06.01,o,m,ground,75,10,crevice,0,90,10,-,-,-,20,herb veg,1,1,38.3,34.3,,,,,
ios,160,,G2,2022,2022.06.01,w,m,wall,5,many wall,wall,49,95,-,5,-,-,13,herb veg,1,3,38.5,34.1,,,,,
ios,161,,D9,2022,2022.06.01,w,m,wall,5,many wall,wall,58,100,-,-,-,-,2,herb veg,1,3,37,34.6,,,,,
ios,162,,A9,2022,2022.06.01,o,m,wall,12,many wall,wall,60,50,-,50,-,-,25,herb veg,1,3,37.5,33.8,,,,,
ios,163,,B5,2022,2022.06.01,w,m,rock,35,6,crevice,32,98,-,2,-,-,10,herb veg,1,3,39.5,34.8,,,,,
ios,164,,G7,2022,2022.06.01,w,m,wall,3,many wall,wall,47,50,-,50,-,-,15,herb veg,1,3,38.2,35.4,,,,,
ios,165,,D8,2022,2022.06.01,w,m,cement,27,1,crevice,5,87,-,13,-,-,8,herb veg,3,3,38,34,,,,,
ios,166,,B6,2022,2022.06.01,w,f,cement,25,1,herb veg,18,45,-,55,-,-,21,herb veg,1,3,35,35.5,,,,,
ios,167,,A10,2022,2022.06.01,w,m,wall,5,many wall,wall,35,80,-,20,-,-,11,herb veg,2,3,37.5,34,,,,,
ios,168,,G6,2022,2022.06.01,w,m,,,,,,,,,,,,,,,,,,,,,
ios,169,,A1,2022,2022.06.02,w,m,wall,9,many wall,wall,45,50,-,50,-,-,13,herb veg,1,3,48.1,29,,,,,
ios,170,,C1,2022,2022.06.02,w,m,rock,31,6,crevice,19,90,-,10,-,-,40,herb veg,1,3,49.2,28,,,,,
ios,171,,A2,2022,2022.06.02,w,m,,,,,,,,,,,,,,,,,,,,,
ios,172,,G5,2022,2022.06.02,w,m,,,,,,,,,,,,,,,,,,,,,
ios,173,,C2,2022,2022.06.02,w,m,,,,,,,,,,,,,,,,,,,,,
ios,174,,C3,2022,2022.06.02,w,m,wall,19,many wall,crevice,219,75,-,25,-,-,8,herb veg,1,3,35.3,30.8,,,,,
ios,175,,A3,2022,2022.06.02,w,f,wall,15,many wall,wall,191,50,-,50,-,-,13,herb veg,1,3,40.3,29.4,,,,,
ios,176,,A4,2022,2022.06.02,w,m,wall,25,many wall,wall,35,40,-,60,-,-,52,herb veg,1,3,38.3,33.8,,,,,
ios,177,,A5,2022,2022.06.02,w,m,wall,5,many wall,wall,48,60,-,40,-,-,49,herb veg,3,3,41.5,32,,,,,
ios,178,,B1,2022,2022.06.02,w,m,wall,,,,,,,,,,,,,,,,,,,,
ios,179,,B2,2022,2022.06.02,w,f,wall,,,,,,,,,,,,,,,,,,,,
ios,180,,C4,2022,2022.06.02,o,f,wall,,,,,,,,,,,,,,,,,,,,
ios,181,,C10,2022,2022.06.02,w,m,wall,,,,,,,,,,,,,,,,,,,,
ios,182,,C5,2022,2022.06.02,w,m,wall,5,many wall,wall,27,100,-,-,-,-,2,grass,1,3,40.5,31,,,,,
ios,183,,B9,2022,2022.06.02,w,f,ground,25,4,herb veg,0,70,-,30,-,-,29,herb veg,1,2,41,33.3,,,,,
ios,184,,B11,2022,2022.06.02,w,f,wall,,,,,,,,,,,,,,,,,,,,
ios,185,,C6,2022,2022.06.02,w,m,rock,,,,,,,,,,,,,,,,,,,,
ios,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,187,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,195,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,196,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
andros,199,,D9,2022,2022.06.06,w,m,wall,22,16,wall,20,100,-,-,-,-,2,grass,1,3,44.3,31.1,,,,,
andros,200,,B1,2022,2022.06.06,w,m,wall,38,8,wall,82,90,-,10,-,-,2,grass,1,3,44,31.3,,,,,
andros,201,,G2,2022,2022.06.06,w,m,wall,37,many walls,wall,45,65,-,nest,-,-,10,herb veg ,2,3,47,31.3,,,,,
andros,202,,G10,2022,2022.06.06,w,m,wall,8,10,wall,31,80,-,20,-,-,11,herb veg ,2,3,46.8,31.3,,,,,
andros,203,,B2,2022,2022.06.06,w,m,wall,25,6,wall,26,90,-,60,-,-,13,herb veg ,1,3,43,31.4,,,,,
andros,204,,D8,2022,2022.06.06,w,m,wall,31,3,wall,26,85,-,15,-,-,10,herb veg ,1,3,39.8,33.4,,,,,
andros,205,,G9,2022,2022.06.06,w,m,wall,10,many walls,wall,35,60,-,40,-,-,10,grass,2,3,43.5,31,,,,,
andros,206,,H5,2022,2022.06.06,wy,m,wall,10,many walls,wall,35,60,-,40,-,-,10,grass,2,3,43.5,31,,,,,
andros,207,,H9,2022,2022.06.06,wy,m,wall,21,4,wall,31,90,-,10,-,-,8,grass,1,3,45.8,31.4,,,,,
andros,208,,G6,2022,2022.06.06,w,f,wall,32,10,wall,62,80,-,20,-,-,12,grass,1,3,41,32.8,,,,,
andros,209,,G7,2022,2022.06.06,w,m,wall,20,11,wall,50,80,-,20,-,-,2,grass,-,-,41.3,32,,,,,
andros,210,,B3,2022,2022.06.06,w,m,wall,8,13,wall,48,50,-,30,20,-,48,tree,2,3,42,34,,,,,
